trade_id,label,ticker,city,target_date,bracket_human,calibrated_p,yes_price,ensemble_mean,climo_mean,outcome,profit_loss,winner,expected,current,new
105,,KXHIGHTSFO-26APR24-B64.5,SF,2026-04-25,between 64°F and 65°F,0.1,0.26,64.5,64,no,0.73,True,,VETO,PASS
104,,KXHIGHLAX-26APR25-B66.5,LA,2026-04-26,between 66°F and 67°F,0.1,0.24,66.5,73,yes,-2.32,False,,VETO,PASS
103,,KXHIGHTSFO-26APR24-B64.5,SF,2026-04-25,between 64°F and 65°F,0.1,0.26,64.5,64,no,0.73,True,,VETO,PASS
106,,KXHIGHLAX-26APR25-B66.5,LA,2026-04-26,between 66°F and 67°F,0.1,0.24,66.5,73,yes,-2.32,False,,VETO,PASS
107,,KXHIGHCHI-26APR24-B76.5,Chicago,2026-04-25,between 76°F and 77°F,0.1,0.26,76.5,60,no,0.24,True,,VETO,PASS
108,,KXHIGHNY-26APR25-T51,NYC,2026-04-26,above 51°F,0.1,0.28,48.032612813780176,62,yes,-0.74,False,,VETO,PASS
109,,KXHIGHMIA-26APR25-B85.5,Miami,2026-04-26,between 85°F and 86°F,0.1,0.26,85.5,84,yes,-0.76,False,,VETO,PASS
110,,KXHIGHMIA-26APR25-B83.5,Miami,2026-04-26,between 83°F and 84°F,0.1,0.31999999999999995,83.5,84,no,0.91,True,,VETO,PASS
111,,KXHIGHNY-26APR25-T51,NYC,2026-04-26,above 51°F,0.1,0.21999999999999997,48.032612813780176,62,yes,-0.8,False,,VETO,PASS
112,,KXHIGHNY-26APR24-B64.5,NYC,2026-04-25,between 64°F and 65°F,0.1,0.41000000000000003,64.5,62,no,0.39,True,,VETO,PASS
113,,KXHIGHNY-26APR24-B64.5,NYC,2026-04-25,between 64°F and 65°F,0.1,0.41000000000000003,64.5,62,no,0.39,True,,VETO,PASS
114,,KXHIGHLAX-26APR24-B74.5,LA,2026-04-25,between 74°F and 75°F,0.1,0.8200000000000001,74.5,73,yes,-0.2,False,,VETO,PASS
116,,KXHIGHMIA-26APR25-B83.5,Miami,2026-04-26,between 83°F and 84°F,0.1,0.31999999999999995,83.5,84,no,0.91,True,,VETO,PASS
115,,KXHIGHMIA-26APR24-T78,Miami,2026-04-25,above 78°F,0.1,0.47,76.34247447283977,84,no,0.45,True,,VETO,PASS
117,,KXHIGHLAX-26APR24-B74.5,LA,2026-04-25,between 74°F and 75°F,0.1,0.8,74.5,73,yes,-2.75,False,,VETO,PASS
118,,KXHIGHMIA-26APR25-B83.5,Miami,2026-04-26,between 83°F and 84°F,0.1,0.31999999999999995,83.5,84,no,0.91,True,,VETO,PASS
119,,KXHIGHLAX-26APR25-B66.5,LA,2026-04-26,between 66°F and 67°F,0.1,0.24,66.5,73,yes,-2.32,False,,VETO,PASS
121,,KXHIGHDEN-26APR24-B67.5,Denver,2026-04-25,between 67°F and 68°F,0.1,0.4,67.5,62,no,1.53,True,,VETO,PASS
123,,KXHIGHLAX-26APR25-B62.5,LA,2026-04-26,between 62°F and 63°F,0.1,0.35,62.5,73,no,1.33,True,,VETO,UNCERTAIN
122,,KXHIGHTPHX-26APR25-T84,Phoenix,2026-04-26,above 84°F,0.1,0.63,83.8788969716377,86,no,4.29,True,,VETO,PASS
120,,KXHIGHTDAL-26APR25-T91,Dallas,2026-04-26,above 91°F,0.1,0.22999999999999998,91.1211030283623,77,no,0.65,True,,VETO,PASS
125,,KXHIGHCHI-26APR25-T56,Chicago,2026-04-26,above 56°F,0.1,0.32999999999999996,56.0,60,no,0.94,True,,VETO,PASS
126,,KXHIGHPHIL-26APR26-T49,Philadelphia,2026-04-27,above 49°F,0.1,0.24,49.0,64,no,0.22,True,,VETO,PASS
127,,KXHIGHDEN-26APR25-B59.5,Denver,2026-04-26,between 59°F and 60°F,0.1,0.20999999999999996,59.5,62,no,0.19,True,,VETO,PASS
137,,KXHIGHMIA-26APR27-B87.5,Miami,2026-04-28,between 87°F and 88°F,0.1,0.51,87.5,84,yes,-2.54,False,,VETO,PASS
138,,KXHIGHTBOS-26APR27-T57,Boston,2026-04-28,above 57°F,0.1,0.32999999999999996,57.610285416892495,56,no,1.25,True,,VETO,PASS
